MAPID,LATITUDE,LONGITUDE,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
DFPB0178,49.281845,-123.110066,south corner of park,Parks,spring to fall,,Victory Square - drinking fountain - 2008.JPG
DFPB0179,49.263048,-123.073108,,Parks,spring to fall,,
DFPB0180,49.28519,-123.128045,Bute & Haro,Parks,spring to fall,,West End Minipark @ Bute & Haro - drinking fountain - 2005.JPG
DFPB0181,49.281987,-123.136052,north end,Parks,spring to fall,,
DFPB0183,49.266021,-123.205262,N-side of wading pool,Parks,spring to fall,,
DFPB0182,49.2668536,-123.2051612,In lawn bowling court,Parks,spring to fall,,
DFPB0184,49.215839,-123.113059,near playground,Parks,spring to fall,,
DFPB0185,49.278442,-123.073424,in front of wading pool,Parks,spring to fall,,
DFENG0500,49.2663411,-123.125914,North side of sewage pumping station 900 Charleson,Engineering,Year Round,N,CharlesonParkPumpingStation.jpg
DFENG0501,49.257924,-123.041381,,Engineering,Year Round,N,GrandviewHwyPumpingStation.jpg
DFENG0502,49.269566,-123.136177,North side of sewage pumping station on seawall east of the granville island entrance,Engineering,Year Round,N,GranvilleIslandPumpingStation.jpg
DFENG0503,49.2733345,-123.131579,North side of sewage pumping station under Granville Bridge on bike route,Engineering,Year Round,N,GranvilleStPumpingStation.jpg
DFENG0504,49.2737142,-123.1527806,North side of sewage pumping station on w/s/ 1300 Arbutus,Engineering,Year Round,N,KitsilanoPumpingStation.jpg
DFENG0505,49.2730368,-123.098886,West side of sewage pumping station on w/s/ 1200 Station St,Engineering,Year Round,N,ThorntonParkPumpingStation.jpg
DFENG0011,49.265329,-123.142081,"Midblock, outside of 1650 W 7th",Engineering,May-October,Y,1650 w 7th 2.JPG
DFENG0001,49.245762,-123.10102,Northeast corner of 28th & Main,Engineering,May-October,N,Main 28th 1.JPG
DFENG0012,49.237587,-123.127384,Southeast corner of 37th & Oak,Engineering,May-October,N,Oak 37th 2.JPG
DFENG0013,49.237446,-123.105647,Northwest corner of 37th & Ontario,Engineering,May-October,N,Ontario&37th.jpg
DFENG0018,49.2371952,-123.097283,Northwest corner of 37th & Prince Edward,Engineering,May-October,Y,Prince Ed 37th 4.JPG
DFENG0002,49.234752,-123.058912,Southwest corner of 39th & Nanaimo,Engineering,May-October,N,Nanaimo&39th.jpg
DFENG0003,49.26822777,-123.152706,Northeast corner of 4th & Arbutus,Engineering,May-October,N,P3140883.JPG
DFENG0004,49.219505,-123.106415,Northwest corner of 56th & Ontario,Engineering,May-October,Y,Ontario 56th 2.JPG
DFENG0014,49.2646599,-123.112967,Southwest corner of 7th & Yukon,Engineering,May-October,N,Yukon&7th.jpg
DFENG0022,49.2187548,-123.055044,Northwest corner of Ashburn & Elliot,Engineering,May-October,N,Ashburn&Elliot.jpg
DFENG0015,49.262875,-123.105026,Southwest corner of Broadway & Ontario,Engineering,May-October,N,Broadway ON 2.JPG
DFENG0032,49.26423514,-123.1666474,Northwest corner of Broadway & Stephens,Engineering,May-October,N,P3140921.JPG
